facility_id,postal_code
018a932e-eb07-7b94-9a2e-57c49789d242,0699
018a932e-ed02-7d06-8729-9dcf46b16ec6,0699
018a932e-ed91-7d99-a93f-a848baea846c,0699
018a932e-ee1d-7e27-b06c-275953125398,0699
018a932e-ee68-7e6d-9c5e-b7b4ceede07b,0699
018a932e-ef4b-7f4b-bc25-c43ea1e9f98a,0699
018a932e-ef96-7f91-9b0a-b96fcdda20e6,0699
018a932e-eff4-7fd7-932b-5d0bb08a46d9,0699
018a932e-f043-701f-9d22-c2949de073ac,7405
018a932e-f08d-7065-93dc-a4eaa55ec5bf,7500
018a932e-f0d9-70ab-b479-d0980df15f28,7785
018a932e-f177-7141-93d9-dba83282497d,8000
018a932e-f1bf-7187-9d0d-522dbbaaedcf,0699
018a932e-f2a5-7267-a308-6bb0743f4c59,7824
018a932e-f379-72f6-bf71-9650d09964f1,7764
018a932e-f411-738d-abe0-02a9bec72bd4,0699
018a932e-f4a1-7425-9ea7-999a4b096397,0699
018a932e-f566-74b6-a690-7d539d7ef0ce,7550
018a932e-f8eb-77ef-8c6e-79177cab5348,0699
018a932e-ec16-7c2b-83ff-941dd47d0aaa,7708
018a932e-ec66-7c73-8427-7bcb1615cd65,4066
018a932e-ed4b-7d53-bd5e-e1f1db4c4a19,7460
018a932e-edd9-7de1-9d41-f77636e753d2,7530
018a932e-eeb5-7eb5-bae2-c1311552d0fd,7975
018a932f-01b1-7fd3-b3c3-219f7050b321,7620
018a932e-f254-7221-9ab6-34e68d893bff,8001
018a932e-f32f-72b0-a77b-ebcc06735af8,7785
018a932e-f502-746e-9f87-61107e6d06bd,7460
018a932e-f5f5-754e-940b-8b02c117777e,7580
018a932e-f649-7596-b821-13de0fb8250a,7441
018a932e-f69b-75de-a64f-49ad12595f1b,7824
018a932e-f6fc-762d-84a0-3f1934fcef0c,1684
018a932e-f754-767a-970e-7378a5255a3b,4083
018a932e-f7a6-76c0-b04c-57f1fb473892,7570
018a932e-f930-7835-b74a-f5d05a7b1b78,7785
018a932e-f9cc-78cb-b443-78a02ce24441,0699
018a932e-fab5-799b-bf99-d841b983df37,00621
018a932e-fc71-7acb-b666-986cc6bd5499,8000
018a932e-fcce-7b11-9b71-32ef4f74c49b,1684
018a932e-fdc3-7be7-bb43-23f9e4f9a693,0699
018a932e-fe0f-7c33-8599-77db3a9f87e7,0699
018a932f-0035-7e52-8406-424156211372,6848
018a932f-03ec-71de-b55b-9a9cfac46752,0699
018a932f-0480-7273-8d1f-241963288060,0699
018a932f-06cd-74c1-85c9-fda8d5245829,0699
018a932f-0710-7509-97d6-0480823cadf1,7785
018a932e-fa6b-796c-b7c4-19898041a736,7824
018a932e-fb36-79eb-8137-b97c66bf6638,7201
018a932e-fd27-7b59-8947-cc6ae4ae4e32,7441
018a932e-fd7c-7ba1-8576-4f34c501a057,7460
018a932e-fe61-7c82-a422-431b6d7a89cc,7655
018a932e-feaa-7ccb-8d11-10d77982123c,6850
018a932e-fef1-7d1b-8416-169c0dc6e812,6705
018a932e-ff3a-7d6b-8d7b-004f83ce38a4,6850
018a932e-ffd6-7e0c-be84-eccd91c07845,7620
018a932f-0083-7e9a-bd34-5bd8acdce104,7620
018a932f-00d3-7eea-abbc-8c4f7b1b1765,7299
018a932f-0115-7f33-b636-87e07287a3d5,7201
